ISBN,Título,Autor,Editorial
9789706517630,Hombres ¿maravillosos?,"Loaeza, Guadalupe",Océano
9789706510358,Mujeres maravillosas,"Loaeza, Guadalupe",Océano
9786074002973,"Niñas bien 25 años después, Las","Loaeza, Guadalupe",Océano
9789706517838,"Niñas bien, Las","Loaeza, Guadalupe",Océano
9789707773424,Parejas,"Loaeza, Guadalupe",Océano
9789706517845,Primero las damas,"Loaeza, Guadalupe",Océano
9786074005875,"Puerta falsa, La","Loaeza, Guadalupe",Océano
9789706517852,"Reinas de Polanco, Las","Loaeza, Guadalupe",Océano
9786077351153,"Secretos de las niñas bien, Los","Loaeza, Guadalupe",Océano
9789707770836,Siempre estará París (incluye CD),"Loaeza, Guadalupe",Océano
9789706517364,Memoria de Líbano,"Martínez Assad, Carlos",Océano
9786077351061,"Treintona, soltera y fantástica. Manual de supervivencia","Dehesa, Juana Inés",Océano
9786074002188,"Familia nace con el primer hijo, La","Gutman, Laura",Océano
9786074003789,"Mujeres visibles, madres invisibles","Gutman, Laura",Océano
9789707772236,Enemigas íntimas,"Simmons, Rachel",Océano
9786074007633,Lado a lado. El programa revolucionario madre-hija para una comunicación libre de conflictos,"Sophy, Charles",Océano
9786074005851,Tampoco se trata de ser perfectas,"Tapia, Fernanda",Océano
9786074006520,"Excepcionalismo mexicano, El","Cansino, César",Océano
9786074005721,"Futuro de la fe, El","Cox, Harvey",Océano
9789707773318,Antimanual para lectores y promotores del libro y la lectura,"Domingo Argüelles, Juan",Océano
9786074004250,"Escribir y leer con los niños, los adolescentes y los jóvenes","Domingo Argüelles, Juan",Océano
9786074002751,"Letra muerta, La","Domingo Argüelles, Juan",Océano
9789707772311,Ustedes que leen. Controversias y mandatos sobre el libro y la lectura,"Domingo Argüelles, Juan",Océano
9786077352808,"Historia de la Tierra, La. Los primeros 4500 millones de años, del polvo estelar al planeta viviente","Hazen, Robert M.",Océano
